date,symbol,strategy,entry_price,exit_price,qty,net_pnl,exit_reason
2025-11-05,MTC,ROD_C,0.387716,0.3683302,33457,-648.59,SL
2025-11-05,SORA,ROD_C,4.783432,4.5442604,2578,-616.58,SL
2025-11-06,YGMZ,ROD_C,3.9594799999999997,3.7615059999999994,2475,-489.99,SL
2025-11-06,STGW,ROD_C,7.6608,7.27776,1216,-465.78,SL
2025-11-07,BKYI,ROD_C,0.8366708333333334,0.7948372916666666,11713,-490.0,SL
2025-11-10,IMTE,ROD_C,1.8677000000000001,1.774315,5247,-489.99,SL
2025-11-10,GLTO,ROD_C,17.83086956521739,19.61395652173913,522,930.77,TP
2025-11-10,VCIG,ROD_C,1.70047,1.6154464999999998,6017,-511.59,SL
2025-11-11,VCIG,ROD_C,2.2628399999999997,2.1496979999999994,4330,-489.9,SL
2025-11-11,GLTO,ROD_C,26.617062,25.2862089,350,-465.8,SL
2025-11-12,SLRX,ROD_C,1.940238095238095,1.8432261904761902,5050,-489.91,SL
2025-11-12,VCIG,ROD_C,1.8506818181818183,1.7581477272727273,5035,-465.91,SL
2025-11-12,CYPH,ROD_C,0.550976,0.6060736000000001,16086,886.3,TP
2025-11-13,NVVE,ROD_C,19.6644,18.68118,498,-489.64,SL
2025-11-13,CMND,ROD_C,18.9906,20.889660000000003,490,930.54,TP
2025-11-14,ASBP,ROD_C,0.14279999999999998,0.13565999999999998,68627,-490.0,SL
2025-11-14,WTO,ROD_C,3.4512,3.2786399999999998,2700,-465.91,SL
2025-11-21,CCTG,ROD_C,0.217514,0.2066383,45054,-489.99,SL
2025-11-24,AEHL,ROD_C,1.991956,2.1911516000000004,4919,979.84,TP
2025-11-25,PAVS,ROD_C,79.0542,75.10149,123,-486.18,SL
2025-12-01,FLYE,ROD_C,16.969526,16.121049699999997,577,-489.57,SL
2025-12-10,BEAT,ROD_C,1.2419699999999998,1.1798714999999997,7890,-489.96,SL
2025-12-10,BBGI,ROD_C,5.806136363636363,6.38675,1605,931.88,TP
2025-12-10,MIGI,ROD_C,6.149592,6.7645512000000005,1664,1023.29,TP
2025-12-11,ATPC,ROD_C,0.12310909090909092,0.13542,79604,980.0,TP
2025-12-11,MIGI,ROD_C,8.61573,8.1849435,1248,-537.62,SL
2025-12-11,BTTC,ROD_C,8.66662,8.233289,1180,-511.33,SL
2025-12-11,PETS,ROD_C,2.4666300000000003,2.7132930000000006,3945,973.09,TP
2025-12-11,BEAT,ROD_C,1.864304,2.0507344,5731,1068.43,TP
2025-12-12,YCBD,ROD_C,1.375638,1.3068560999999999,7123,-489.93,SL
2025-12-15,YCBD,ROD_C,1.6130000000000002,1.53235,6075,-489.95,SL
2025-12-15,RADX,ROD_C,14.627297297297298,13.895932432432433,637,-465.88,SL
2025-12-15,MASK,ROD_C,0.5576533333333333,0.5297706666666666,15893,-443.14,SL
2025-12-15,AMCI,ROD_C,6.593698000000001,7.253067800000001,1278,842.67,TP
2025-12-16,RILYP,ROD_C,7.271666666666666,7.998833333333333,1347,979.49,TP
2025-12-16,RILYL,ROD_C,9.126666666666667,8.670333333333334,1178,-537.56,SL
2025-12-16,AZI,ROD_C,2.0964,1.99158,4881,-511.63,SL
2025-12-16,AMCI,ROD_C,12.795319999999998,14.074852,760,972.44,TP
2025-12-16,VMAR,ROD_C,0.691584,0.7607424,15449,1068.43,TP
2025-12-17,YCBD,ROD_C,2.0017,1.9016149999999998,4895,-489.92,SL
2025-12-17,PCSA,ROD_C,4.70505,4.469797499999999,1980,-465.8,SL
2025-12-17,VYNE,ROD_C,0.704656,0.6694231999999999,12578,-443.16,SL
2025-12-18,UGRO,ROD_C,0.462086,0.4389817,21208,-490.0,SL
2025-12-18,ATHA,ROD_C,6.619999999999999,6.288999999999999,1407,-465.72,SL
2025-12-19,PRPH,ROD_C,1.4203000000000001,1.5623300000000002,6899,979.86,TP
2025-12-19,AZI,ROD_C,2.7047320000000004,2.5694954,3978,-537.97,SL
2025-12-19,LAZR,ROD_C,0.4687759999999999,0.4453371999999999,21829,-511.65,SL
2025-12-23,TRIB,ROD_C,1.2155555555555555,1.3371111111111111,8062,979.98,TP
2025-12-23,HIHO,ROD_C,1.2054904761904761,1.3260395238095237,8926,1076.02,TP
2025-12-23,PCLA,ROD_C,0.176154,0.1937694,67071,1181.48,TP
2025-12-24,DRMA,ROD_C,2.987,3.2857000000000003,3280,979.74,TP
2025-12-24,ELOG,ROD_C,2.0561615384615384,1.9533534615384613,5233,-537.99,SL
2025-12-24,AMCI,ROD_C,10.913524,10.3678478,937,-511.3,SL
2025-12-24,ECDA,ROD_C,0.9325,0.885875,10436,-486.58,SL
2025-12-26,DTCK,ROD_C,0.424432,0.40321039999999997,23089,-489.99,SL
2025-12-26,ECDA,ROD_C,1.1750066666666668,1.2925073333333335,7931,931.9,TP
2025-12-26,PCLA,ROD_C,0.413338,0.39267109999999994,24757,-511.65,SL
2025-12-26,PAVS,ROD_C,2.17806,2.3958660000000003,4468,973.16,TP
2025-12-26,SOPA,ROD_C,1.5504920000000002,1.7055412000000003,6891,1068.44,TP
2025-12-29,MASK,ROD_C,0.27199199999999996,0.25839239999999997,36030,-489.99,SL
2025-12-29,SOPA,ROD_C,2.4221,2.300995,3847,-465.89,SL
2025-12-29,BNAI,ROD_C,1.99368,1.8939959999999998,4445,-443.1,SL
2025-12-29,CCTG,ROD_C,0.219118,0.2081621,38467,-421.44,SL
2025-12-29,BFRGW,ROD_C,0.39968571428571426,0.3797014285714285,20055,-400.78,SL
2025-12-29,RPGL,ROD_C,0.7662739999999999,0.8429013999999999,9948,762.29,TP
2025-12-30,BFRGW,ROD_C,0.4785875,0.52644625,20476,979.96,TP
2025-12-30,SOPA,ROD_C,3.6088,3.4283599999999996,2981,-537.89,SL
2025-12-30,ULY,ROD_C,2.421946,2.6641406000000005,4225,1023.27,TP
2025-12-31,INBS,ROD_C,7.9051160000000005,8.695627600000002,1239,979.44,TP
2026-01-02,CHOW,ROD_C,0.9447880000000001,1.0392668000000003,10372,979.93,TP
2026-01-02,LVRO,ROD_C,1.0277433333333332,0.9763561666666665,10469,-537.97,SL
