date,symbol,strategy,entry_price,exit_price,qty,gross_pnl,entry_cost,exit_cost,net_pnl,exit_reason,slippage_pct
2025-02-03,SOPA,ATOM_SUP_EMA200,2.1778722139541697,2.1523406424795097,4311,-110.07,21.76,22.39,-154.22,Trailing Stop,0.19287537771806093
2025-02-05,CPIX,ATOM_SUP_EMA200,4.446653336172704,4.886243487792493,2038,895.88,10.39,10.71,874.78,TP,0.10375897258194841
2025-02-05,RNAZ,ATOM_SUP_EMA200,262.44566790530973,254.67771146665285,32,-248.57,1.19,1.18,-250.94,Trailing Stop,0.1631902488287148
2025-02-06,SOPA,ATOM_SUP_EMA200,2.1291213298166713,2.1707212597241248,4596,191.19,23.2,23.87,144.12,Trailing Stop,0.21966169964950888
2025-02-06,NIVF,ATOM_SUP_EMA200,794.1794895765357,781.5451475940364,5,-63.17,1.09,1.09,-65.35,Trailing Stop,0.22084866821532548
2025-02-10,BNAI,ATOM_SUP_EMA200,6.709758446654979,6.3059353836768,1329,-536.68,6.84,7.02,-550.54,SL,1.0720464464864434
2025-02-11,SOPA,ATOM_SUP_EMA200,3.6442533102700745,3.999936021786401,2687,955.72,13.65,14.06,928.01,TP,0.21809230155330775
2025-02-11,AIFF,ATOM_SUP_EMA200,8.493488480703979,8.275424009026565,1135,-247.5,5.89,6.05,-259.44,Trailing Stop,0.44602695907890644
2025-02-12,NWTG,ATOM_SUP_EMA200,14.90822112035346,13.933690038750639,651,-634.42,3.47,3.55,-641.44,SL,1.6177582312009549
2025-02-12,AIFF,ATOM_SUP_EMA200,11.92642149586648,11.900618844435648,708,-18.27,3.73,3.83,-25.83,Trailing Stop,0.4207727830181151
2025-02-14,NWTG,ATOM_SUP_EMA200,29.306429779584672,28.389314165059538,323,-296.23,1.82,1.86,-299.91,Trailing Stop,0.3883713506682836
2025-02-24,ATPC,ATOM_SUP_EMA200,1.3027970573436702,1.2198202477394058,6842,-567.73,34.41,35.39,-637.53,SL,1.4411871617250958
2025-03-11,RAY,ATOM_SUP_EMA200,29.2974954445548,27.451491700818888,315,-581.49,1.78,1.81,-585.08,SL,1.369360708052604
2025-03-21,RNAZ,ATOM_SUP_EMA200,35.74111438460951,36.8887055481834,271,311.0,1.57,1.62,307.81,Trailing Stop,0.23068765028560417
2025-03-21,GLTO,ATOM_SUP_EMA200,5.658874538114898,5.625181488064204,1630,-54.92,8.35,8.59,-71.86,Trailing Stop,0.31576310359376847
2025-03-24,RAY,ATOM_SUP_EMA200,24.51581406295745,23.458176260331967,395,-417.77,2.19,2.24,-422.2,Trailing Stop,0.4321890478269589
2025-03-25,RAY,ATOM_SUP_EMA200,29.858067707832408,29.2720309217883,326,-191.05,1.85,1.89,-194.79,Trailing Stop,0.21805657966899672
2025-03-31,NWTG,ATOM_SUP_EMA200,1.776122690372919,1.9458875759040597,5006,849.84,25.23,25.97,798.64,TP,0.4016605972245342
2025-04-01,YCBD,ATOM_SUP_EMA200,2.482776576454192,2.5325289419800314,3838,190.95,19.4,19.96,151.59,Trailing Stop,0.4919768971127614
2025-04-03,MRM,ATOM_SUP_EMA200,0.5082903102498517,0.5573601901113793,17378,852.74,44.36,51.16,757.22,TP,0.31462892330762365
2025-04-04,AEHL,ATOM_SUP_EMA200,3.7780788570780675,4.147372803559028,2527,933.21,12.85,13.23,907.13,TP,0.20486456329989458
2025-04-07,NWTG,ATOM_SUP_EMA200,2.270020073494221,2.2292999693073607,4291,-174.73,21.67,22.29,-218.69,Trailing Stop,0.14333844087969227
2025-04-09,PHIO,ATOM_SUP_EMA200,1.6903953996927117,1.711293382682194,5576,116.53,28.09,28.9,59.54,Trailing Stop,0.4772676544231396
2025-04-09,MRM,ATOM_SUP_EMA200,0.6543767214852826,0.636792906194287,13653,-240.07,44.87,45.64,-330.58,Trailing Stop,0.42954214055617906
2025-04-09,AEHL,ATOM_SUP_EMA200,4.757774103447704,4.742594236762363,1884,-28.6,9.62,9.89,-48.11,Trailing Stop,0.15591080500288843
2025-04-10,MRM,ATOM_SUP_EMA200,1.1123168662414935,1.147903611190337,8363,297.61,42.02,43.24,212.35,Trailing Stop,0.13887679944872863
